F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
-14,330,-8.11,12,30,5.65,-431.34,31.36,-4.11,13.96,-4.07,-7.04,-856.22,-1.72,-6.11,False
-3,84,-7.41,3.66,3,0.58,-137.34,19.72,6.9,21.4,-5.34,4.34,-474.22,1.82,,True
-4,375,-1.42,10.8,30,6.4,153.66,38.56,-12.63,8.98,-6.58,-11.1,-686.22,-4.52,-7.55,True
-1,27,-8.68,0.78,0,0.1,-155.34,19.96,8.28,21.36,-6.76,2.46,-528.22,1.08,,False
-14,300,-3.77,14.5,30,6.45,-176.34,30.16,-5.46,14.02,-4.85,-6.96,-836.22,-2.57,-5.7,False
-9,555,-3.08,25.6,30,7.05,-116.34,32.26,-8.67,13.1,-4.37,-6.5,-896.22,-3.08,,False
-4,1140,-6.23,28.5,30,6.75,-86.34,31.16,-4.5,13.32,-5.42,-7.24,-876.22,-0.45,-6.16,False
-1,117,-11.18,2.38,3,0.38,-59.34,20.44,11.79,19.36,-8.12,-0.06,-528.22,0.65,-7.07,True
-4,570,-3.6,22.1,30,8.3,153.66,28.76,-5.28,12.72,-6.38,-8.08,-676.22,-0.3,-4.55,False
-14,675,-3.48,28.3,30,6.55,-161.34,33.66,-7.8,13.06,-5.42,-6.48,-746.22,-2.11,-6.92,True
-14,645,-3.7,23.5,30,5.5,-176.34,34.76,-8.82,10.84,-4.04,-5.68,-736.22,-3.55,,True
-1,27,-6.68,2.76,3,0.92,-50.34,19.9,11.94,23.86,-8.09,5.02,-526.22,1.36,,False
-1,105,-6.93,1.42,3,0.49,-104.34,20.18,4.86,25.06,-7.09,5.04,-502.22,0.94,,False
-1,123,-7.49,2.7,3,0.07,-131.34,20.04,8.43,19.42,-5.5,1.74,-500.22,1.08,,False
-14,660,-1.91,25.2,30,6.45,108.66,36.26,-2.19,9.46,-5.99,-10.08,-836.22,-2.42,,True
1,69,-6.83,3.66,3,0.33,-44.34,20.1,5.58,21.5,-6.03,1.6,-506.22,2.67,-5.94,False
1,12,-11.69,3.68,3,0.56,-89.34,20,9.93,19.7,-6.43,0.22,-542.22,2.27,,False
-1,96,-7.89,2.78,3,0.94,-44.34,19.88,16.26,19.5,-5.67,2.1,-502.22,1.35,,True
-3,30,-7.16,2.22,3,0.59,-119.34,19.82,8.94,23.74,-5.84,1.96,-500.22,0.75,-7.78,True
-4,1035,-1.82,13.7,30,9.45,138.66,30.76,-9.78,12.56,-6.57,-8.9,-656.22,-3.97,,False
-3,30,-7.72,1.1,3,0.21,-113.34,20.32,4.2,19.46,-5.96,2.56,-524.22,0.85,,False
-14,495,-2.87,15.5,15,9.6,168.66,29.46,-10.35,8.94,-6.87,-8.32,-656.22,-2.4,,True
-14,825,-2.76,13,30,5.3,-176.34,32.36,-6.72,12.26,-5.22,-7.18,-726.22,-1.1,,False
-24,435,-2.78,11.4,30,7.45,-191.34,29.76,-6.33,11.28,-4.87,-4.66,-626.22,-2.99,,False
-14,795,-3.95,11.1,30,7.25,183.66,31.36,-8.22,11.04,-6.42,-6.7,-656.22,-3.06,,False
-3,84,-7.54,3.66,3,0.82,-146.34,19.66,14.43,19.54,-5.12,-0.46,-464.22,2.59,,True
-4,105,-4.04,14.3,30,9.8,168.66,32.26,-11.04,12.82,-5.81,-9.6,-686.22,-3.87,,True
-3,99,-7.16,0.18,3,0.94,-134.34,20.56,11.16,19.54,-5.99,2.36,-528.22,1.19,,True
-14,1065,-5.49,18.2,30,6,108.66,32.16,-10.47,10.24,-6.66,-8.82,-506.22,-1.26,,False
1,45,-7.75,2.88,3,0.63,-80.34,19.8,4.02,30.34,-8.21,-0.3,-496.22,3.72,,False
1,42,-6.69,2.22,3,0.96,-86.34,20.08,6.39,20.78,-5.64,-0.54,-536.22,1.51,-6.03,False
-4,345,-3.97,12.7,30,6.55,48.66,33.56,-10.59,10.62,-8.04,-10.44,-466.22,-3.95,,True
-3,84,-8.72,1.84,3,0.67,-140.34,19.64,6.3,31.64,-5.7,1.88,-486.22,0.85,,False
-3,60,-7.76,1.24,3,0.14,-149.34,20.82,11.79,20.02,-6.18,4.58,-472.22,1.3,-7.5,True
-14,705,-2.64,14.3,30,5.8,-71.34,36.26,-10.11,10.96,-5.9,-4.26,-886.22,-2.69,-7.21,False
-4,405,-1.78,10.4,30,8.85,63.66,33.16,-12.12,17.68,-6.11,-10.84,-506.22,-4.12,-7,True
-24,360,-3.96,17.7,30,5.75,-176.34,29.96,-6.06,13.36,-5.83,-5.08,-736.22,-2.45,,False
-14,495,-3.48,29,30,5.35,-401.34,31.26,-7.65,12.54,-4.24,-5,-656.22,-1.78,,False
-4,105,-2.19,14.3,30,9.5,93.66,30.46,-3.12,10.18,-5.95,-6.24,-776.22,-1.98,-7.2,False
-3,15,-7.07,3.84,3,1,-107.34,19.5,6.36,19.26,-5.72,1.24,-474.22,1.77,,True
-3,108,-6.92,2.96,3,0.46,-119.34,20.12,7.5,20.9,-7.78,-0.1,-538.22,1.29,,False
-14,750,-2.1,25.5,30,7.85,-146.34,32.16,-7.65,12.94,-7.9,-6.66,-746.22,-2.13,,True
-14,60,-3.8,20.2,30,5.6,183.66,33.06,-5.79,12.02,-4.38,-8,-766.22,-2.57,,False
-14,1020,-1.32,17.7,30,7.05,33.66,36.86,-11.97,10.36,-7.27,-9.86,-616.22,-2.28,-7.88,True
-14,285,-3.71,15.3,30,8.4,63.66,30.56,-0.45,11.48,-5.21,-5.86,-686.22,-3.59,-7.01,True
-4,1155,-1.87,17.8,30,8.65,123.66,32.06,-10.23,9.32,-6.66,-6.46,-496.22,-2.31,,False
-2,3,-6.98,0.06,3,0.3,-101.34,20.34,4.11,20.56,-5.43,1.1,-522.22,2.32,-6.21,False
-4,240,-2.32,13.5,30,7.3,3.66,33.06,-9.15,12.66,-6.17,-10.4,-566.22,-3.65,,True
-1,156,-7.17,2.48,3,0.86,-131.34,20.04,7.98,24.52,-6.33,0.22,-492.22,3.25,-8.31,True
-3,228,-7.83,2.2,3,0.9,-152.34,20.36,3.45,20.52,-5.56,2.48,-522.22,1.83,-7.74,True
-24,945,-4.47,16.3,30,8.25,-296.34,31.46,-8.91,11.74,-8.12,-8.54,-836.22,-2.71,,False
-1,15,-7.13,3.28,3,0.53,-62.34,20.06,9.9,22.48,-6.3,5.14,-536.22,0.95,-7.12,False
-1,27,-7.16,2.62,3,0.78,-47.34,20.18,5.34,23.16,-5.88,-0.64,-506.22,1.09,,True
-3,39,-8.64,1.62,3,0.02,-134.34,19.96,4.86,20.52,-6.09,2.08,-534.22,0.96,-6.12,False
-24,855,-2.42,28,30,5.6,-386.34,32.76,-9.15,15.28,-3.93,-4.92,-666.22,0.08,-5.52,False
-1,210,-9.2,3.32,3,0.27,-140.34,20.32,5.07,22.94,-6.27,2.74,-482.22,3.17,,False
-3,174,-7.97,3.68,0,0.82,-137.34,19.7,6,22.02,-5.3,2.78,-544.22,1.6,-7.47,False
-14,975,-2.63,26.5,30,6.55,-326.34,32.06,-7.17,9.76,-5.55,-7.3,-516.22,-3.48,,True
-14,360,-4.64,28,30,7.15,33.66,29.76,-3.57,12.44,-4.35,-4.76,-816.22,-0.15,-5.1,False
-14,975,-2.32,15.3,30,6.9,-146.34,30.36,-4.89,12.32,-9.79,-7.3,-486.22,-1.45,,False
-1,39,-9.43,1.18,3,0.46,-116.34,20.28,4.59,20.42,-6.42,-0.34,-516.22,0.84,-6.99,False
-4,480,-5.55,22.7,30,5.95,153.66,38.16,-2.97,12.18,-5.68,-8.46,-896.22,-3.98,,True
-3,24,-7.35,3.46,3,0.81,-125.34,19.02,7.83,20.14,-5.67,0.12,-530.22,0.86,,True
-14,1020,-2.01,23.4,30,7.85,-281.34,31.76,-4.29,9.68,-7.61,-9.1,-606.22,-3.87,,True
-24,1095,-3.71,30.7,30,5.35,-356.34,30.26,-5.76,18.02,-4.88,-6.46,-766.22,-1.88,-6.29,False
-14,150,-2.9,13.7,30,8.2,138.66,33.56,-11.82,14.22,-5.88,-10,-646.22,-4.19,,True
-14,285,-8.86,20.9,30,5.35,-191.34,29.76,-3.27,16.76,-5.35,-6.8,-536.22,-0.77,-5.61,False
-4,705,-2.63,29.8,30,7,-41.34,32.06,-2.16,13.64,-5.21,-5.98,-816.22,-3.38,,False
-4,750,-1.83,12,30,9.25,138.66,34.06,-3.39,8.7,-8.44,-10.74,-776.22,-1.71,-5.58,False
-1,63,-7.4,2.7,3,0.94,-140.34,19.84,6.27,27.86,-5.77,6.28,-486.22,0.69,,True
-14,450,-3.07,20.5,30,8.85,-401.34,29.36,-7.05,12.2,-4.28,-7.52,-906.22,-2.56,,False
-14,1095,-2.38,20.1,30,6.55,-281.34,31.56,-9.3,15.52,-7.5,-8.46,-656.22,-1.12,-5.1,False
-1,54,-9.24,2.12,3,0.95,-92.34,20.06,4.26,27.6,-5.64,3.96,-526.22,0.81,,False
-4,240,-3.67,11.8,30,8,18.66,32.86,-9.78,10.2,-5.84,-7.96,-876.22,-0.45,,False
-14,330,-2.93,17.3,30,5.7,-11.34,35.56,-6.12,10.94,-5.22,-8.82,-846.22,-3.44,,True
-1,84,-7.47,1.68,3,0.58,-59.34,20.16,9.57,25.64,-5.99,1.38,-488.22,2.23,-8.29,True
-3,27,-7.09,2.32,3,0.48,-128.34,20.06,10.38,19.98,-5.26,-0.3,-468.22,1.77,-7.79,True
-14,585,-3.72,12,30,7.9,-356.34,29.36,-2.91,16.48,-4.25,-6.78,-866.22,-2.63,,False
-3,117,-7.86,2.78,3,0.05,-113.34,20.14,16.86,21.34,-6.88,-0.06,-534.22,2.19,,False
-1,60,-8.83,3.68,3,0.25,-140.34,20.84,3.24,20.8,-5.15,2.28,-500.22,1.52,,True
-24,600,-4.53,22.3,30,6.65,-131.34,28.46,-0.15,13.82,-3.96,-4.6,-746.22,1.37,,False
-3,126,-11.15,4,3,0.77,-113.34,20.1,9.72,22.58,-6,0.96,-474.22,2.7,-6.78,True
1,96,-8.02,2.98,3,0.9,-74.34,19.68,7.44,19.82,-6,1.92,-512.22,1.69,-6.83,False
1,198,-6.81,2.68,3,0.84,-59.34,20.56,4.71,19.42,-5.86,2.46,-478.22,0.53,,True
-1,39,-7.98,0.22,3,0.6,-149.34,19.5,4.32,19.7,-7.55,3.98,-462.22,3.02,-6.82,False
-1,21,-8.03,0.72,3,0.23,-125.34,20.88,3.75,26.42,-5.53,-0.6,-462.22,1.47,-7.17,True
-1,3,-8.21,3.44,3,0.31,-161.34,19.22,5.43,23.56,-4.99,5.14,-538.22,1.6,-7.24,True
1,15,-5.08,29.2,30,5.65,-71.34,31.66,-7.89,13.26,-4.27,-4.2,-716.22,-1.49,-6.36,False
-14,435,-3.02,10.7,30,5.75,-251.34,31.06,-4.44,12.06,-6.72,-8.18,-616.22,-2.36,,False
-1,9,-7.59,2.18,3,0.51,-74.34,19.92,4.98,19.6,-7.16,2.4,-504.22,1.78,,False
-14,885,-5.02,12.5,30,5.35,-41.34,32.46,-2.79,10.44,-7.7,-9.22,-576.22,-2.61,,False
-3,15,-8.14,3.88,3,0.61,-128.34,20.4,6,19.7,-5.3,1.54,-496.22,3.03,-8.43,True
-1,15,-6.94,1.18,3,0.69,-158.34,19.2,16.5,23.24,-5.57,0.58,-456.22,1.62,-6.93,False
-3,39,-7.22,2.68,3,0.11,-116.34,19.82,11.55,20.82,-5.43,2.6,-462.22,1.52,-6.97,True
-14,930,-4.24,20.4,30,7.05,78.66,29.16,-4.35,13.32,-5.9,-3.86,-836.22,-1.75,-6.1,False
1,33,-9.13,1.36,3,0.15,-95.34,20.7,8.7,20.3,-5.68,1.58,-512.22,0.88,,False
-24,840,-4.13,20.9,30,7.95,-146.34,32.36,-8.4,12.7,-4.78,-9.08,-586.22,-2.91,-8.29,True
-0,27,-7.3,0.24,3,0.48,-101.34,20.64,8.91,24.98,-7.52,0.96,-488.22,4.34,,True
-4,990,-1.74,11.2,30,7.8,-26.34,37.76,-7.98,11.64,-7.61,-3.38,-756.22,-4.38,-7.45,False
-24,1065,-3.04,15.9,15,6.4,-236.34,31.56,-9.27,9.34,-4.7,-9.88,-596.22,-3.32,-8.95,True
-1,6,-9.89,2.68,3,0.41,-149.34,18.78,5.52,20.42,-8.81,5.06,-520.22,1.01,-6,False
-3,105,-7.23,3.58,3,0.96,-155.34,18.86,4.05,21.72,-5.71,4.28,-522.22,1.48,-8.27,True
-14,1110,-4.07,14.3,30,9.1,-56.34,29.36,-6.75,12.66,-6.46,-7.26,-836.22,-2.99,,False
-3,69,-7.49,2,3,0.43,-149.34,19.88,8.64,22.08,-6.83,1.06,-468.22,1.09,-7.06,True
-9,15,-1.9,12.2,30,7.95,-281.34,33.16,-1.41,9.7,-4.01,-9.48,-766.22,-3.32,-7.75,True
-1,81,-9.89,1.46,3,0.51,-152.34,20.1,6.57,20.9,-6.65,5.3,-522.22,2.41,-6.3,False
-3,144,-8.05,2.72,3,0.09,-146.34,19.84,7.38,19.72,-5.42,1.48,-520.22,1.13,-6.58,False
-4,165,-3.65,21.5,30,7.6,63.66,29.86,-3.21,14.92,-6.86,-6.98,-836.22,-2.84,,False
-14,465,-4.87,20.6,30,6.9,153.66,35.56,-9,10.1,-5.42,-6,-856.22,-1.45,,True
1,87,-7.13,2.04,3,0.97,-74.34,19.86,13.29,19.54,-6.08,1.9,-522.22,0.63,,True
-14,195,-2.05,18.3,30,8.65,-56.34,29.96,-5.34,10.92,-5.41,-9.2,-566.22,-3.73,-8.14,True
-1,33,-8.95,3.2,3,0.16,-56.34,19.52,5.19,20.92,-6.83,0.8,-490.22,2.65,,False
-24,765,-3.32,17.5,30,5.4,-131.34,34.66,-5.4,11.92,-4.24,-4.22,-886.22,-3.39,,False
-14,810,-2.22,28,30,9.65,48.66,30.66,-8.55,10.6,-5.21,-9.28,-746.22,-4.08,,True
-4,450,-5.58,24.2,30,9.75,168.66,32.56,-7.44,9.28,-6.35,-8.22,-776.22,-3.96,-7.91,True
-1,12,-9.03,2.18,3,0.85,-164.34,20.06,5.52,20.78,-5.71,2.34,-492.22,1.69,-7.62,True
-3,48,-7.44,2,3,0.55,-110.34,20.52,8.64,18.94,-6.19,7.72,-496.22,1.66,-6.5,True
-4,1020,-1.3,16.8,30,9.8,93.66,36.26,-8.31,11.28,-6.69,-10.74,-516.22,-5.01,-8.92,True
-14,1005,-2.93,14.2,30,7.55,153.66,33.26,-9.93,12.3,-9.36,-5.22,-746.22,-3.17,-6.72,False
-4,600,-4.91,27.2,30,6.1,63.66,36.36,-9.51,10.48,-4.99,-3.58,-886.22,-1.78,,True
-1,63,-6.88,3.24,3,0.96,-80.34,19.34,6.45,19.72,-6.35,-0.26,-524.22,2.66,,False
-24,720,-2.61,18.6,30,6.2,-401.34,34.56,-9.27,10.4,-4.13,-8.46,-876.22,-3.4,-5.87,False
-24,615,-4.63,27.5,30,8.1,-146.34,28.06,1.65,15.78,-4.79,-1.92,-896.22,-1.27,,False
-4,315,-1.98,21.3,30,6.4,153.66,34.36,-10.35,11.08,-5.83,-8.24,-746.22,-3.22,,True
-1,21,-7.17,1.2,3,0.6,-134.34,20.68,5.43,22.64,-5.61,3.02,-486.22,0.73,-7.55,True
1,33,-6.55,2.74,3,0.85,-53.34,20.42,6.33,23.04,-10.11,2.44,-490.22,0.83,,True
-1,105,-7.62,3.32,3,0.95,-38.34,20.56,3.09,20.02,-7.25,7.58,-524.22,1.68,,True
-9,825,-2.7,16.2,30,7.2,-116.34,30.96,7.92,14.16,-6.11,-6.44,-636.22,-2.91,,False
-14,1125,-2.25,15.2,30,5.6,-221.34,38.96,-4.47,12.84,-6.1,-4.34,-646.22,-2.52,-7.54,True
-3,54,-8.84,3.18,3,0.22,-122.34,19.3,4.5,22.34,-7.8,0.84,-488.22,2.53,-7.03,False
-3,24,-8.36,0.34,3,0.54,-137.34,19.76,5.55,23.66,-5.89,4.86,-472.22,2.9,,False
-14,300,-3.08,27.3,30,6.6,168.66,31.96,-3.63,11.4,-5,-8.26,-836.22,-2.46,-6.48,False
-4,765,-4.03,30.5,30,9.1,153.66,31.46,-10.77,9.28,-5.84,-9.6,-566.22,-4.16,,True
-1,102,-8.47,2.9,3,0.79,-125.34,19.24,8.34,21.06,-6.25,2.06,-516.22,5.33,,False
-4,660,-3.45,14.7,30,7.25,138.66,33.26,-10.11,10.26,-7.06,-10.16,-656.22,-4.12,-5.93,False
-1,99,-10.1,2.94,3,0.29,-137.34,19.76,8.64,19.34,-6.45,0.28,-484.22,1.68,,False
-14,300,-3.29,17.9,30,6.5,78.66,31.06,-4.5,12.9,-6.21,-5.54,-786.22,-2.97,-6.67,False
-14,930,-2.05,22,30,9.3,-326.34,32.46,-8.46,12.62,-6.39,-9.16,-726.22,-2.14,-7.55,True
-14,600,-3.06,14.6,30,6,153.66,33.46,-6.36,13.26,-5.7,-3.46,-916.22,-2.48,-5.41,False
-3,147,-6.79,0.68,3,0.97,-146.34,20.5,5.91,20.82,-6.48,5.82,-502.22,3.08,-7.89,True
-0,0,-6.89,2.46,3,0.41,-86.34,19.76,6.36,21.6,-5.89,0.92,-490.22,1.52,,False
-9,945,-1.87,13.1,30,6.75,-116.34,36.86,-10.35,9.84,-7.04,-10.78,-776.22,-4.52,,False
-14,720,-2.33,14.2,30,5.8,-206.34,34.76,-8.13,10.44,-4.79,-7.14,-576.22,-4,-8.8,True
-1,156,-7.04,1.68,3,0.91,-59.34,20.22,7.05,27.76,-7.3,-0.5,-468.22,1.81,,True
-24,375,-3.34,16.9,30,8.55,-386.34,29.46,-8.52,14.96,-4.18,-6.88,-756.22,-1.95,,False
-4,315,-2.63,20.9,30,5.9,-56.34,36.36,-7.71,11.24,-4.93,-7.9,-926.22,-3.61,,True
-14,1095,-3.38,15.6,30,5.35,-341.34,32.96,-7.77,14.98,-7.42,-6.36,-816.22,-2.45,-5.01,False
-1,168,-8.21,1.8,3,0.5,-134.34,20.36,7.05,22.48,-7.43,-0.28,-504.22,0.9,,True
-4,510,-3.3,27.4,30,6.3,3.66,30.86,-7.53,12.68,-4.33,-7.64,-566.22,-3,-6.48,False
-1,27,-7.98,3.18,3,0.94,-152.34,19.38,8.88,22.56,-6.96,0.48,-516.22,1.26,-8.26,True
-14,45,-2.33,12.3,30,10,63.66,31.76,-11.19,9.82,-4.39,-9.52,-836.22,-3.12,-7.81,True
1,153,-6.95,2.16,3,0.52,-92.34,20.76,8.19,19.54,-6.35,2.62,-482.22,0.75,,True
1,21,-7.13,1.62,3,0.93,-95.34,19.64,3.96,19.94,-6,2.38,-470.22,2.17,-8.68,True
-24,30,-3.35,12.1,30,7.25,-266.34,29.96,-5.07,12.42,-7.07,-7.12,-816.22,0.62,-5.72,False
-14,1080,-4.9,28.4,30,8.7,-311.34,30.36,-6.69,12.32,-4.08,-6.96,-866.22,-3.12,,False
-1,21,-6.66,1.56,3,0.09,-116.34,20.36,4.74,22.06,-6.06,2.94,-468.22,1.83,-6.42,False
-1,6,-11.31,0.38,3,0.43,-95.34,20.6,7.38,19.96,-6.06,-0.3,-490.22,0.75,,True
-3,207,-8.54,2.78,3,0.09,-119.34,20.16,5.16,22.36,-5.82,0.48,-486.22,1.87,,False
-3,24,-8.14,2.28,3,0.3,-158.34,19.98,5.34,22.72,-5.26,-0.22,-492.22,1.25,,True
1,33,-9.51,3.42,3,0.49,-62.34,20.7,3.21,19.14,-6.15,5.52,-490.22,1.15,-7.61,True
-3,147,-6.93,3.24,3,0.24,-128.34,20.52,15.12,19.86,-5.71,1.94,-520.22,0.7,,False
-3,78,-7.97,0.58,3,0.91,-155.34,20.36,5.04,19.4,-8.45,0.46,-490.22,3.15,-8.86,True
-1,78,-7.05,3.22,3,0.28,-122.34,19.74,4.08,20.24,-5.61,-0.32,-480.22,2,-7.15,False
-1,78,-7.97,2.38,3,0.25,-128.34,20.82,9.84,19.16,-6.91,3.36,-468.22,0.89,,True
-1,198,-7.17,3.1,3,0.44,-44.34,20.5,4.29,25.82,-5.9,1.58,-518.22,0.7,,True
-4,120,-5.35,29.7,30,6.5,3.66,29.56,-1.44,18.36,-4.36,-1.5,-866.22,-0.15,-7.29,False
-14,885,-2.17,15.6,30,9.6,123.66,31.06,-11.16,11.32,-6.52,-6.72,-646.22,-4.07,-6.62,False
1,9,-7.15,2.46,3,0.77,-62.34,19.84,3.66,19.6,-5.53,0.1,-516.22,1.19,,False
-1,165,-7.6,1.1,3,0.51,-110.34,20.68,2.91,18.86,-6.43,-0.4,-468.22,1.29,,True
-14,690,-2.82,11.8,30,6.55,18.66,33.86,-9,10.68,-6.08,-8.82,-746.22,-3.62,-5.36,False
-1,12,-7.49,0.6,3,0.59,-131.34,19.92,4.68,24.06,-5.7,-0.34,-506.22,5.34,-7.21,False
-1,147,-8.19,3.72,0,0.59,-89.34,19.1,4.23,20.18,-7.36,1.04,-482.22,2.29,-7.42,False
-14,765,-4.16,13.3,30,7,-56.34,35.86,-10.86,9.78,-6.12,-8.82,-786.22,-4.42,-7.22,True
-14,300,-6.37,21.9,30,6.75,-56.34,31.86,-3.99,13.36,-5.1,-6.82,-906.22,-2.83,-6.46,False
-14,90,-3.82,19.6,30,6.85,-266.34,29.26,-7.38,12.68,-4.95,-8.16,-496.22,3.1,,False
-14,990,-1.71,26.9,30,6.95,-101.34,34.76,-11.16,9.7,-4.63,-5.74,-696.22,-3.61,,True
-14,795,-3.02,23.6,30,6.3,78.66,30.26,-6.36,13.94,-5.55,-5.08,-506.22,-1.71,-6.59,False
-14,255,-2,11.3,30,6.4,-161.34,33.76,-6.36,9.62,-8.58,-4.04,-566.22,0.33,-8.16,True
-24,165,-6.23,19.3,30,6.3,-386.34,28.46,0.81,13.96,-3.71,-6.84,-646.22,-2.34,,False
-3,9,-7.02,0.94,3,0.6,-149.34,19.58,5.34,20.24,-5.64,2.48,-538.22,1.69,,False
-4,315,-4.1,13.9,30,7,-41.34,29.96,-1.89,20.3,-5.67,-6.5,-876.22,-1.57,-6.15,False
-14,1140,-2.18,19.1,30,7.7,-296.34,34.56,-2.73,15.4,-5.17,-9.64,-886.22,-1.65,-7.64,True
-1,12,-8.87,0.36,3,1,-104.34,19.48,4.32,24.28,-5.81,-0.02,-456.22,2.42,-7.38,True
-1,33,-9.21,2.8,3,0.28,-158.34,19.2,4.86,19.68,-6.25,1.74,-502.22,1.56,,False
-1,36,-7.28,1.94,3,0.2,-125.34,20.1,6.24,25.74,-8.49,0.62,-512.22,1.77,,False
-14,1110,-1.5,12.9,30,8.25,-191.34,37.36,-9.27,10.58,-9.36,-9.6,-886.22,-2.65,-6.25,True
-3,30,-7.78,1.64,3,0.47,-167.34,19.22,8.07,21.1,-5.18,-0.12,-458.22,3.84,,True
-4,195,-3.73,26.4,30,6.1,48.66,29.36,-3.27,16.9,-4.03,-5.12,-746.22,-1.53,,False
-24,600,-4.71,12.7,30,7.65,-356.34,28.06,-4.32,13.8,-6.59,-4.78,-856.22,-1.63,-5.69,False
-1,63,-7.02,0.58,0,0.26,-122.34,20.66,5.88,19.18,-6.15,-0.68,-504.22,0.69,-7.15,True
-14,735,-1.68,14.8,30,7.5,-146.34,33.06,-8.64,10.96,-5.04,-10.12,-606.22,-3.85,-6.84,True
-1,51,-8.05,0.12,3,0.41,-119.34,20.28,11.58,19.94,-5.88,0.18,-530.22,1.77,-6.78,False
